CMDLINE /Users/vadimleshchev/opt/anaconda3/envs/YandexContest/bin/python main.py
MEM 0.195312 1626984830.3393
MEM 14.613281 1626984830.4410
MEM 18.902344 1626984830.5413
MEM 24.710938 1626984830.6421
MEM 28.136719 1626984830.7429
MEM 28.140625 1626984830.8434
MEM 28.140625 1626984830.9442
MEM 28.140625 1626984831.0476
MEM 28.140625 1626984831.1508
MEM 28.140625 1626984831.2553
MEM 28.140625 1626984831.3561
MEM 28.140625 1626984831.4597
MEM 28.140625 1626984831.5604
MEM 28.140625 1626984831.6629
MEM 28.140625 1626984831.7682
MEM 28.140625 1626984831.8685
MEM 28.140625 1626984831.9726
MEM 28.140625 1626984832.0752
MEM 28.140625 1626984832.1757
MEM 28.140625 1626984832.2795
MEM 28.140625 1626984832.3842
MEM 28.140625 1626984832.4850
MEM 28.140625 1626984832.5875
MEM 28.140625 1626984832.6887
MEM 28.140625 1626984832.7896
MEM 28.140625 1626984832.8943
MEM 28.140625 1626984832.9977
MEM 28.140625 1626984833.1012
MEM 28.140625 1626984833.2018
MEM 28.140625 1626984833.3039
MEM 28.140625 1626984833.4045
MEM 28.140625 1626984833.5092
MEM 28.140625 1626984833.6117
MEM 28.140625 1626984833.7128
MEM 28.140625 1626984833.8168
MEM 28.140625 1626984833.9176
MEM 28.140625 1626984834.0183
MEM 28.140625 1626984834.1219
MEM 28.140625 1626984834.2261
MEM 28.140625 1626984834.3308
MEM 28.140625 1626984834.4328
MEM 28.140625 1626984834.5337
MEM 28.140625 1626984834.6372
MEM 28.140625 1626984834.7397
MEM 28.140625 1626984834.8406
MEM 28.140625 1626984834.9411
MEM 28.140625 1626984835.0417
MEM 28.140625 1626984835.1427
MEM 28.140625 1626984835.2452
MEM 28.140625 1626984835.3500
MEM 28.140625 1626984835.4517
MEM 28.140625 1626984835.5551
MEM 28.140625 1626984835.6588
MEM 28.140625 1626984835.7624
MEM 28.140625 1626984835.8667
MEM 28.140625 1626984835.9670
MEM 31.976562 1626984836.0713
MEM 31.976562 1626984836.1746
MEM 31.976562 1626984836.2787
MEM 31.976562 1626984836.3834
MEM 31.976562 1626984836.4858
MEM 32.300781 1626984836.5886
MEM 35.062500 1626984836.6918
MEM 35.988281 1626984836.7942
MEM 36.945312 1626984836.8979
MEM 36.519531 1626984836.9986
MEM 37.355469 1626984837.0995
MEM 37.371094 1626984837.2005
MEM 38.316406 1626984837.3033
MEM 38.316406 1626984837.4044
MEM 38.261719 1626984837.5060
MEM 39.683594 1626984837.6065
MEM 39.996094 1626984837.7104
MEM 41.386719 1626984837.8141
MEM 41.515625 1626984837.9145
MEM 41.675781 1626984838.0178
MEM 40.750000 1626984838.1194
MEM 40.785156 1626984838.2236
MEM 40.933594 1626984838.3249
MEM 39.589844 1626984838.4270
MEM 40.039062 1626984838.5279
MEM 40.039062 1626984838.6328
MEM 40.039062 1626984838.7329
MEM 41.402344 1626984838.8361
MEM 41.406250 1626984838.9389
MEM 41.382812 1626984839.0408
MEM 41.300781 1626984839.1435
MEM 41.410156 1626984839.2465
MEM 41.410156 1626984839.3469
MEM 41.933594 1626984839.4496
MEM 41.945312 1626984839.5521
MEM 42.152344 1626984839.6543
MEM 41.921875 1626984839.7575
MEM 41.921875 1626984839.8591
MEM 41.921875 1626984839.9641
MEM 41.921875 1626984840.0681
MEM 41.921875 1626984840.1729
MEM 41.921875 1626984840.2758
MEM 41.921875 1626984840.3769
MEM 41.921875 1626984840.4793
MEM 41.921875 1626984840.5795
MEM 41.921875 1626984840.6832
MEM 41.921875 1626984840.7854
MEM 41.921875 1626984840.8875
MEM 41.921875 1626984840.9914
MEM 41.921875 1626984841.0960
MEM 41.921875 1626984841.1989
MEM 41.921875 1626984841.3041
MEM 41.921875 1626984841.4045
MEM 41.921875 1626984841.5077
MEM 41.921875 1626984841.6114
MEM 41.921875 1626984841.7141
MEM 41.921875 1626984841.8193
MEM 41.921875 1626984841.9245
MEM 41.921875 1626984842.0278
MEM 41.921875 1626984842.1287
MEM 41.921875 1626984842.2339
MEM 41.921875 1626984842.3364
MEM 41.921875 1626984842.4367
MEM 41.921875 1626984842.5373
MEM 41.921875 1626984842.6395
MEM 41.921875 1626984842.7432
MEM 41.921875 1626984842.8449
MEM 41.921875 1626984842.9452
MEM 41.921875 1626984843.0504
MEM 41.921875 1626984843.1552
MEM 41.921875 1626984843.2553
MEM 41.921875 1626984843.3604
MEM 41.921875 1626984843.4640
MEM 41.921875 1626984843.5651
MEM 41.921875 1626984843.6698
MEM 41.921875 1626984843.7731
MEM 41.921875 1626984843.8756
MEM 41.921875 1626984843.9785
MEM 41.921875 1626984844.0823
MEM 41.921875 1626984844.1872
MEM 41.921875 1626984844.2905
MEM 41.921875 1626984844.3951
MEM 41.921875 1626984844.4989
MEM 41.921875 1626984844.6009
MEM 41.921875 1626984844.7055
MEM 41.921875 1626984844.8070
MEM 41.921875 1626984844.9115
MEM 41.921875 1626984845.0160
MEM 41.921875 1626984845.1162
MEM 41.921875 1626984845.2171
MEM 41.921875 1626984845.3220
MEM 41.921875 1626984845.4272
MEM 41.921875 1626984845.5284
MEM 41.921875 1626984845.6317
MEM 41.921875 1626984845.7360
MEM 41.921875 1626984845.8408
MEM 41.921875 1626984845.9447
MEM 41.921875 1626984846.0473
MEM 41.921875 1626984846.1486
MEM 41.921875 1626984846.2488
MEM 41.921875 1626984846.3498
MEM 41.921875 1626984846.4503
MEM 41.921875 1626984846.5516
MEM 41.921875 1626984846.6524
MEM 41.921875 1626984846.7534
MEM 41.921875 1626984846.8571
MEM 41.921875 1626984846.9581
MEM 41.921875 1626984847.0604
MEM 41.921875 1626984847.1653
MEM 41.921875 1626984847.2670
MEM 41.921875 1626984847.3696
MEM 41.921875 1626984847.4747
MEM 41.921875 1626984847.5748
MEM 41.921875 1626984847.6782
MEM 41.921875 1626984847.7835
MEM 41.921875 1626984847.8840
MEM 41.921875 1626984847.9867
MEM 41.921875 1626984848.0881
MEM 41.921875 1626984848.1887
MEM 41.921875 1626984848.2895
MEM 41.921875 1626984848.3934
MEM 41.921875 1626984848.4973
MEM 41.921875 1626984848.5983
MEM 41.921875 1626984848.7014
MEM 41.921875 1626984848.8020
MEM 41.921875 1626984848.9039
MEM 64.144531 1626984849.0083
MEM 77.695312 1626984849.1099
MEM 95.546875 1626984849.2151
MEM 109.718750 1626984849.3153
MEM 138.230469 1626984849.4176
MEM 147.984375 1626984849.5182
MEM 163.207031 1626984849.6234
MEM 168.695312 1626984849.7260
MEM 170.878906 1626984849.8269
MEM 172.039062 1626984849.9274
MEM 174.082031 1626984850.0276
MEM 175.660156 1626984850.1288
MEM 177.789062 1626984850.2301
MEM 180.039062 1626984850.3332
MEM 182.234375 1626984850.4347
MEM 184.519531 1626984850.5392
MEM 186.730469 1626984850.6408
MEM 188.960938 1626984850.7433
MEM 191.074219 1626984850.8468
MEM 192.179688 1626984850.9505
MEM 194.437500 1626984851.0520
MEM 196.656250 1626984851.1547
MEM 198.847656 1626984851.2584
MEM 201.136719 1626984851.3635
MEM 234.714844 1626984851.4649
MEM 236.867188 1626984851.5662
MEM 239.078125 1626984851.6686
MEM 241.203125 1626984851.7697
MEM 243.406250 1626984851.8747
MEM 244.613281 1626984851.9783
MEM 246.328125 1626984852.0794
MEM 248.476562 1626984852.1800
MEM 250.722656 1626984852.2834
MEM 252.972656 1626984852.3871
MEM 255.156250 1626984852.4896
MEM 257.382812 1626984852.5942
MEM 259.625000 1626984852.6977
MEM 261.769531 1626984852.7980
MEM 263.996094 1626984852.9014
MEM 266.207031 1626984853.0044
MEM 268.933594 1626984853.1079
MEM 271.132812 1626984853.2092
MEM 271.960938 1626984853.3140
MEM 273.839844 1626984853.4192
MEM 276.003906 1626984853.5195
MEM 278.800781 1626984853.6233
MEM 281.066406 1626984853.7267
MEM 283.261719 1626984853.8291
MEM 283.972656 1626984853.9330
MEM 284.027344 1626984854.0382
MEM 284.167969 1626984854.1427
MEM 284.292969 1626984854.2467
MEM 284.394531 1626984854.3496
